74485 209542
41599 38626
54184 62772 308960
13436 21059 254782
32410 39117 299122
52139 27967 304740
43360 40182 234915
64909 41393 242268
22361 2225 274961
48034 19839 295124
2508 44600 212181
57672 73840 304511
30744 25053 238238
33021 39991 246344
67573 25547 264668
73123 15366 285249
30210 23270 283208
43265 53539 267827
62274 45931 219887
1450 36774 266491
24829 49323 241143
61657 60347 222380
27865 51724 221073
56062 66753 239376
38919 35191 298793
37466 63893 241911
42814 555 306565
56724 6 211701
6298 24915 231663
50213 41371 289560
51060 42830 250293
9793 6840 260731
56786 1405 256221
68151 6211 265897
30108 6582 282895
47910 39677 275092
34768 46024 221991
55986 38656 245185
32948 73436 309523
71628 39274 224477
2252 23830 209808
29111 69471 303127
2024 72152 211948
70308 11910 297214
68455 49074 255384
37450 72907 267893
45256 13765 268261
35052 19804 281858
7669 67554 298542
14846 48968 244834
35363 453 297357
58136 71230 287354
26543 58613 298909
39450 11432 243627
63363 12497 276879
3482 66772 244457
67220 21250 280861
52042 18502 257991
46342 41133 229914
42447 50824 271378
37458 10489 309870
42954 5256 231734
38662 11008 211898
30864 23367 235578
8910 31164 263964
50877 62380 212778
44822 40271 229169
5691 57953 262916
41223 66779 251857
13260 65373 293164
13837 67231 266601
70531 57291 291956
20684 3809 222441
7605 8415 257268
1849 38860 248816
5035 64577 233254
1646 53516 231984
52895 68746 310462
49112 50514 256503
14628 64388 281527
15808 66950 228274
14789 15740 256132
45105 68608 312889
43347 74171 298643
37148 34916 283308
11894 53989 218143
53225 34503 242196
67868 55083 261206
37261 47973 280167
9405 66165 245194
63 67826 242825
15041 51057 279637
70119 50719 286667
47779 31543 249469
48413 13680 285203
72325 56290 230996
5541 26369 216793
30052 8031 306431
50024 71832 257778
10707 59702 219261
15805 45128 225753
64948 48848 225354
26344 57001 224204
66338 14576 288019
20295 22451 287513
294 45008 296026
66891 68619 293736
29000 47585 259078
20389 3203 275074
73837 32451 289199
50979 63217 265369
16320 50661 213251
65206 28104 216917
31063 27181 228419
36085 1520 290682
69740 13518 273507
73257 40043 299299
39959 15281 263763
33309 17266 246913
1779 13601 291058
17102 13952 258124
20049 19148 304459
38348 44440 210975
59422 60685 288064
24146 28370 243020
21159 47880 265131
25589 49106 288495
54105 38821 230611
60388 2844 274593
4032 10684 257378
336 3045 234727
68727 20135 312754
34088 52123 301199
39157 13300 262482
36172 21370 244315
7694 35300 313905
48745 2179 249182
27188 1060 248410
22211 23668 303269
11731 13301 297577
39437 38579 255196
12616 6767 214644
73060 24790 278865
25128 49834 292987
22632 38363 269724
18015 6901 268598
36530 69438 224461
55426 18276 307091
34542 65696 210666
14580 31592 256082
67503 59773 273990
4536 60999 262191
66971 28416 308166
58591 20348 295641
27245 38954 223634
43745 69638 242111
62110 64728 243467
55847 46572 285192
71025 35771 293150
43299 33531 242509
6204 39272 287205
43474 46332 226734
50211 62209 247977
8256 641 303436
65145 27938 289202
35569 36366 294652
21608 50480 226044
901 41173 217183
51011 48161 289457
46454 58217 295781
61473 25816 292191
7848 67357 276063
8006 29423 252538
32885 47278 283618
15326 36759 274480
28893 22444 217166
7627 53322 212645
1544 1081 311051
35057 58371 226907
45825 43658 236281
53782 61978 255427
8827 6826 310025
63649 55619 284794
31098 5177 209854
22600 74262 236804
31889 56592 281035
24070 65300 249189
63274 22108 275958
20451 12125 280246
67256 6642 302586
65451 38846 294275
69547 69153 290162
44753 9741 264583
11058 53987 279561
59269 25794 313130
67626 24502 286379
21244 60655 289494
42291 39507 260849
72342 4185 237916
5704 67757 311730
43906 10950 252871
58020 2130 242698
61343 74018 301027
20269 63911 221615
24315 13772 233419
65167 21635 264107
62217 52336 277600
27401 49274 238208
2183 38284 238536
42268 33998 311161
53190 23974 302850
24953 39956 219468
15457 40570 239678
35650 56000 279201
15080 64603 241299
33391 10180 265850
62611 28654 308975
12870 27626 256926
67691 44385 294174
17477 15280 239599
10425 47178 307198
35611 8026 240683
14859 7286 312946
52581 29589 245269
59246 16569 299801
12525 23036 311927
16221 26680 217581
17567 54433 219338
5920 26852 240424
68033 46005 295271
4563 58356 291127
35289 12182 223750
58038 15755 242706
2838 30898 286952
65736 63379 213587
11371 45012 241832
32350 40971 233047
29178 69114 288419
10889 28229 261964
9476 71782 281535
29499 58920 245031
15435 25894 281786
10163 65677 212713
15993 25017 292584
48519 9016 280009
15425 44175 218168
5419 5009 257988
52642 58450 305834
24860 55919 251478
33498 6673 272654
32659 29129 226084
45119 48916 243559
29567 57410 274506
68804 10610 295596
14869 47635 289844
21745 4461 295148
59034 54853 260503
56010 21957 305615
45332 62370 214873
41828 52583 235026
23162 6608 233730
10607 12255 274582
68054 6441 224451
60200 3927 245281
14656 15657 251991
24568 74293 245441
22170 22860 260775
57334 30346 221375
53505 30424 312362
6498 58889 236710
21956 54263 239648
72600 26853 284175
13815 3724 247578
4179 59054 227958
5989 67635 233450
42744 69440 246419
65822 4792 209845
47872 3403 227596
59160 22822 300764
37736 58572 312067
35059 65879 291647
54649 59890 254274
59408 37469 313308
48607 28875 241198
21267 48339 255178
10658 58983 311869
27435 5096 294228
16237 6771 289681
44248 26974 282514
11533 25122 235142
35924 33918 263996
49205 53181 222261
55422 32627 284322
52879 4496 261038
71360 64500 248390
3752 26669 245398
26157 51737 294688
48408 21410 214473
56774 22051 251447
72618 8950 225855
2404 32395 283797
61723 1072 222745
37078 4119 215157
22586 13901 238731
33201 3084 272747
30369 67067 252061
8839 54649 243466
51329 25800 275849
68904 2482 218439
36342 61358 223979
68697 15980 222369
58448 36223 262425
61545 28345 268688
32755 30480 286697
13282 58817 261513
20058 3626 280237
50164 50791 233492
21543 19687 268660
10934 35480 298244
36730 54423 224734
2130 68393 291288
67054 72845 293473
35042 59870 287985
48165 57821 245474
29313 13728 248012
1666 70863 267652
71797 10603 300887
61495 68851 268305
53613 73585 211704
22458 12226 278244
67843 492 266412
73064 64935 294214
57722 9565 213101
29196 18149 245085
6161 9022 232329
63001 42813 210975
33162 34414 229000
27315 54216 310627
65665 4334 303678
19650 51480 302143
64211 19594 311783
21394 35909 214813
47294 25451 293839
992 31383 217402
1400 45027 247463
62399 55881 294936
67669 59720 283177
47325 33556 250234
51531 65417 225757
19615 60011 290680
25535 71546 241703
62160 37576 304387
45901 65351 308070
45129 30368 269702
35094 72695 312200
17190 32440 237977
63942 10808 272319
35650 30862 313887
61284 21654 247038
46269 68797 264570
37276 60144 289821
64613 23212 282880
58262 20442 275561
16667 25285 297841
35846 3924 312885
73284 33440 302676
33551 9257 282822
70799 65650 215416
41668 9428 310101
8493 39189 289080
61340 45881 311877
17350 65013 304962
73268 38666 258457
59576 73291 298441
55558 33952 305042
68888 8019 290182
8954 72768 246010
35451 41748 271216
58857 49569 274498
74474 68949 275209
16221 48421 251936
30071 74456 246372
26422 3449 226689
40243 12399 246162
16825 58608 231935
28339 65347 252632
47222 40315 221973
14698 12667 252983
72944 4081 295372
34211 14783 221432
73379 68829 210134
15763 74265 264535
21691 26189 269658
48060 8035 238270
46158 49845 281451
59333 19652 245663
56715 71477 296055
17735 41106 255756
5817 42946 211883
53214 48639 272931
56935 64294 310024
61192 2058 253266
18728 46731 238403
13140 32454 253698
55652 39207 222455
32975 53299 281143
65067 34808 243730
47286 12725 295548
13478 46649 309335
45990 32939 253120
38854 14010 293415
66747 51980 296237
29192 4955 301182
39101 14908 225570
63713 26967 289309
43425 20484 229734
52502 19574 252873
62523 57368 258392
71758 58209 251974
14375 54706 238335
59800 6684 276784
29467 70152 255463
36822 35635 287052
71795 23164 282528
55281 26441 306505
7936 10316 300164
17820 708 310768
48923 25789 240376
33541 68800 241331
23011 35544 210488
45386 31608 223148
39418 4297 304719
67131 65011 247075
24769 17575 298062
55219 44204 234846
45143 36089 238336
50405 61917 254413
20687 2848 280474
39552 51544 250847
49256 74159 227079
56409 13932 252654
48654 4132 228848
51428 29026 303594
14526 21921 302987
47916 5609 242828
65264 32947 219700
46070 32827 292818
44567 73562 226541
33319 35484 230335
11414 21754 269494
72546 20334 263019
66076 74301 259961
7597 3247 261023
18184 36742 252318
48558 34768 285730
10160 60523 282992
34409 66885 251816
71239 14152 290279
3530 4384 218540
21402 67897 260965
9807 60237 236233
72556 40809 215026
42565 47234 299681
70586 5151 275031
66559 23787 310319
46774 10479 233312
63766 72754 278788
68277 51902 290727
59548 31863 244927
45802 5984 290834
16775 39088 292834
28887 49512 261740
20871 60693 229711
44008 55638 273647
19044 65430 299559
39730 50563 211629
36269 51529 236754
51846 34602 282288
8397 5422 264845
19880 34603 275232
36250 39273 267964
72979 41176 311161
7029 17907 235253
33375 19468 212712
385 71612 251884
66037 11446 270582
44801 3717 258316
29615 17385 234484
18081 32383 265271
26893 56840 257377
52299 71285 234907
59549 64741 281120
50607 28237 293544
26185 7626 214114
41502 41980 228792
21641 41225 305787
41370 23214 304803
73731 74072 260937
31038 15811 231516
63000 35905 297871
22589 5060 247281
47309 32288 228526
60337 18640 242529
4622 43681 264093
12955 18050 288888
22600 47018 214081
22408 68292 217432
15915 29947 284118
69718 204 220430
19709 44831 273008
31629 22687 217412
59821 51972 233504
21089 58200 212618
74104 53937 296522
58884 476 266305
64850 43054 268420
68280 55820 256564
14920 9040 266022
58390 5429 230827
39904 9738 218824
16241 6363 224514
19099 38037 310411
64739 47306 219088
42117 62940 224255
65600 48921 294369
23385 65891 213946
22125 72594 246523
21026 67873 236047
42493 16732 269902
29691 4383 275428
61711 60363 218171
51263 33996 252948
12997 2982 244161
27039 49708 296065
27461 31643 225636
14687 1658 266507
60972 38429 303428
64082 55062 303871
37844 28375 212632
16293 33582 302861
73555 9366 297623
9989 9873 268926
9492 35135 263047
47720 30301 242258
42162 10814 268609
41128 61644 244863
10761 73240 224891
29327 913 296590
33224 17538 261872
54207 42145 286776
40589 46254 231159
10186 18489 232449
16894 49151 310411
21452 73118 272217
46776 31756 277179
72316 2276 285718
38279 1577 286522
25725 39564 267965
10271 9318 292430
23045 56748 294335
49826 45269 248547
72841 68624 234630
65988 24613 247052
50456 46441 248581
46997 54609 211442
9725 24898 302493
23564 72065 241124
66204 50379 307909
44200 683 308498
25771 17922 229889
41977 33145 267177
24617 9280 288893
39125 54138 223569
17571 70181 263425
42944 9227 227340
58358 32374 220444
52005 50518 298305
54146 9732 232856
67868 54611 245646
32595 62652 235680
42078 37801 268450
55522 61117 214799
1815 70690 246608
64145 55254 215105
23897 30692 313177
46894 51057 270527
13425 31753 244881
41773 38048 310624
2004 56008 221579
73966 68154 301818
27481 50278 261522
24313 22002 237591
4169 48609 276813
33602 17782 227437
2042 42786 313990
14695 63430 251602
33016 49903 279532
1638 2781 255962
35556 65609 254377
22456 50956 275364
6608 23639 295402
495 22226 251571
18521 1880 249482
61994 18294 230930
6956 36378 288261
68018 25772 236596
63131 1297 252744
6263 12486 276712
32855 54360 300307
71512 37897 215499
23282 20535 254405
70857 23846 217038
23808 24192 258445
25241 15327 310207
4976 24020 215250
20395 38127 313627
44262 60225 286547
4547 62050 293967
66865 3903 300008
46824 20305 234004
42047 40641 305043
64409 24295 254994
28448 57688 270644
29551 5571 242021
14788 16962 306494
62044 48540 266096
56273 38601 256657
52891 40166 306851
17330 1617 290193
74399 40149 274633
27151 36189 290843
55922 13148 291759
19643 46202 262061
55495 54959 261331
29981 37681 249489
30716 10167 308629
15989 17171 236000
52005 49646 280693
25133 61175 259833
46403 45598 212539
71309 37515 301492
36476 1191 245510
1362 56244 278200
18855 19882 265200
18450 67502 253514
39218 30800 217530
57091 3530 235013
19287 26707 311193
32620 20789 306792
16622 23339 245057
13217 9926 250041
5962 30330 229954
34211 30138 278965
66744 67750 215490
66408 60848 253419
12357 59588 257140
72315 31370 219586
27010 60599 229341
44741 963 265046
66456 19780 275864
68008 51889 307901
39350 20789 293030
26391 10340 288870
34709 60608 233438
730 13928 212147
16675 12635 220110
53450 41360 268951
34832 43932 268323
66919 28474 212778
43396 51167 253374
54535 10018 310462
34404 24792 280535
50340 21958 313360
4424 15602 310138
68989 13967 262399
33862 50846 288408
39860 10125 249751
33237 58792 266066
13862 16808 313341
48402 10649 300446
17243 74368 231071
30406 15730 283267
36506 30845 271350
38416 54773 227470
31586 23883 254687
41913 43043 213877
31981 14597 256511
21919 8209 238455
27779 58936 233061
9800 7079 231678
9999 52845 229112
32818 32252 289510
18759 73753 232708
55734 47458 221397
25050 30475 216484
4688 5391 256800
57253 12838 311851
60796 10344 216937
54818 34142 275996
42460 50426 298433
26497 22598 249892
69410 49545 281573
17702 15027 269618
6093 47979 264328
53572 51769 225937
8627 1682 265986
41461 68533 312026
20217 47375 267027
31755 63191 241733
17477 16 304457
30398 8877 218193
58933 51414 221967
19538 63525 283156
41666 49569 235360
19450 13937 213383
3471 7988 234796
35132 41822 265405
59977 10408 279228
61320 62713 221153
731 28131 240089
28795 65049 292387
35911 71686 243286
55177 57955 306006
36888 46729 245690
34302 62687 219865
3359 38379 287378
55366 24879 266282
10651 34009 248522
38660 47100 262340
4881 62134 304955
26993 13477 270741
15918 6316 227178
40277 28283 276518
54061 68223 310572
13713 48687 260850
50332 33353 260121
53321 10540 273418
39161 14213 238048
40246 39412 268658
74317 46963 219434
71296 47967 255978
32325 23166 214762
54081 58969 264958
48115 34399 286297
71212 60421 308548
36742 15487 252622
44558 68935 244555
4425 24689 220989
25158 43813 265573
70306 4566 305422
48955 38051 302643
13154 29745 262749
39421 43518 226180
63832 51686 253222
39744 34998 305500
47421 15109 265066
74028 69267 241307
52297 73324 224236
23929 59902 278302
45092 51134 211026
5495 10051 270541
7976 17743 233256
20752 58682 270514
46638 36990 213116
46413 42405 277899
45825 19877 304995
45606 32041 227544
64804 36209 290681
9 53045 305241
4729 48998 277855
72412 11679 249141
43361 56868 255986
17132 3476 243307
59022 46920 226186
53263 37231 223483
36694 19007 264601
57641 55126 311931
29544 41462 224545
57565 45858 278080
36685 69431 246473
11294 50511 280846
28682 15558 272652
26670 23277 209840
49637 17967 300853
66815 37002 283858
49872 11550 305474
24410 2935 277440
35616 52581 283694
14270 59292 238939
23972 20879 250712
21454 47194 268134
19231 24018 213156
71207 38428 260953
39018 59115 264018
31025 42386 218394
33803 29861 290466
13011 30822 259293
8565 21697 269782
72351 5927 238590
29882 46744 215317
29287 38800 300394
41696 51838 246037
3005 11582 242859
44501 48443 241293
13619 58858 226098
43443 19364 212414
25092 53877 222787
30909 42615 210439
27351 55460 214368
21187 27049 307384
38038 34899 264748
60587 58774 309048
35569 20732 245516
19009 28808 267801
20027 43579 216589
6179 23089 297927
12942 29603 265097
46282 30070 304538
22818 73800 223831
23486 41106 228085
8157 62513 261025
6379 34311 232357
44339 10084 263054
26373 46163 233608
50420 23829 262661
19475 28970 290793
56280 18049 223544
53689 20794 256542
57168 38627 290462
43320 62886 292081
35393 23503 228822
5536 36509 285561
73290 18201 285838
53295 63316 270215
41038 23095 286188
41896 19052 288829
15534 65766 279468
73417 10846 275586
12464 69103 252810
68338 45992 283971
9923 55355 216833
36075 21641 216730
73495 46765 263461
28679 40602 289178
2549 65553 212147
16471 44270 262254
14584 40854 296673
50234 74386 232950
39288 15914 224578
8905 43488 241291
42374 73139 288247
2374 62099 253486
58066 16360 300485
16053 47074 233951
60937 18620 216871
66252 19477 231453
15064 44996 286675
6134 70859 301791
65995 30230 221867
824 6609 244686
47767 7112 222525
42715 3532 282675
1324 61130 220530
26166 27185 232923
17414 25803 230785
72330 31594 259191
27258 19856 224088
16053 74417 259617
53714 23335 209933
64716 48038 288085
56039 4697 283157
70138 1096 242226
42460 11844 265967
23669 23031 229017
55834 26988 263476
54866 37020 294712
51544 36479 294810
63322 5934 286456
39264 10028 228838
22567 71451 279759
24253 19310 275347
9813 59109 241752
38240 46906 282067
35261 129 218835
4823 33113 285055
30229 1065 249416
58545 20935 313947
53182 54865 265270
22966 9211 235995
8702 44491 221557
29418 66008 280419
4720 70461 256586
46093 18958 259100
45435 41884 215512
63746 65608 298414
50790 28104 210079
69586 4388 283849
41417 74034 243767
44006 45939 218513
52883 12263 253853
72746 36525 237471
4247 60961 216825
51662 68158 301505
7750 59920 299633
59736 29685 279728
2116 49504 246768
34073 31430 297640
65666 71655 275937
66587 65686 274067
37519 19364 269555
17180 16445 296920
35050 29193 300421
36707 67516 309273
31697 2775 211450
27740 14723 237037
64168 24690 238413
61293 30299 305566
67096 4921 227264
12674 70844 250905
70534 21318 281221
45268 13188 209851
35197 9407 213247
62632 71374 274586
8878 13031 228225
35983 17833 245319
59206 35790 238920
10528 29280 213802
7399 15686 222206
13627 35416 223028
53792 31839 217753
60150 7362 227639
15504 40976 236591
2557 49201 246037
10846 10643 224453
68331 70175 296843
22502 22857 310633
19675 21007 277607
44814 37477 276157
52676 22979 230790
34361 22315 220828
16193 3856 311620
40128 64849 273693
61575 31000 230498
67440 59989 280769
24821 61197 224270
5319 50631 269834
3879 11833 303408
53526 31238 290766
34864 14718 305545
74421 64476 228768
65007 66567 229993
20611 32110 254619
25402 53142 282759
28319 42387 213497
54294 50852 225093
54017 53430 245340
60981 40224 261493
61411 45246 240038
13931 59137 219386
8648 43280 216746
19545 38449 251872
43887 73480 254600
5464 39202 247778
69003 70408 304788
71479 52967 270326
28561 1818 288257
69146 42189 249733
72576 38645 307809
12520 42639 295669
58523 21137 230320
41298 39791 217735
30351 54571 258137
26496 13983 312912
14527 60126 252994
18534 30924 233159
43618 23313 239032
54400 58064 299832
17795 38730 297069
60896 2457 295383
40500 18033 212780
3700 2716 218701
37902 17827 239242
2075 32717 280274
42445 46841 299017
20211 52927 279257
16018 55544 299377
40568 62187 257470
53176 827 210373
73668 57863 252639
5747 26864 228467
23884 26869 280997
30087 61762 246898
57077 29645 241392
67921 54511 311147
11909 40802 259596
46543 42448 215960
40977 30757 284242
9450 50186 288704
29121 2807 302473
28619 59154 235557
48183 44338 256720
31462 53506 277712
1503 19929 272709
6142 46854 305829
28609 43866 219950
53239 70177 252630
10831 49160 232393
73155 44666 286583
37291 69483 299152
15431 57029 264862
72158 69245 217381
22932 68327 230880
6889 17496 285979
56312 36063 307336
8638 37553 280991
18499 20224 291489
64767 28426 250004
51637 7825 222360
55161 25563 216553
57447 72291 294176
50456 53534 280287
23441 62923 255860
38755 54059 312171
57359 20471 269059
58028 31707 227873
15300 44814 228290
28024 55087 305876
34378 6148 295910
43474 39983 275882
8517 27634 265648
40610 10728 215497
64775 40072 277808
59387 22389 220855
45710 18237 244626
4793 70861 227421
50084 18512 244133
66928 25954 239586
5741 39102 248978
50676 65086 239131
67032 24319 266348
36961 28500 247782
51273 9456 230768
36433 6 301087
3132 20832 269705
22 68807 279985
49968 4524 289106
12569 12626 247968
66976 14228 307221
10458 30751 280148
10764 56360 311871
37982 68178 239381
56555 10943 213060
64502 4773 254089
19057 24367 314232
40868 64342 300002
53692 66831 277862
17315 66664 259404
54098 4694 238460
10044 72123 226712
4826 12619 283361
16994 5536 291013
67266 34381 306084
5538 26628 269015
36892 23992 260865
18203 72764 232946
26959 41180 238548
18484 25106 296736
67858 35066 227148
56307 9200 240767
68617 42821 211328
13956 47968 286575
34160 34492 235634
19140 58080 306008
62067 48686 286809
35174 19464 300602
69349 43156 265743
24359 43647 212488
2960 9690 237388
61414 31546 305294
1210 4624 237257
62139 30742 219440
50193 23866 222897
28785 49937 273465
55785 35515 272027
34560 29865 252848
3782 37307 230296
19590 66299 299265
34920 60164 252489
63621 29613 250103
55560 42993 224988
62161 2804 275075
72365 51200 301494
10480 57410 221807
17328 714 301990
16305 21750 231449
30995 30521 233043
4331 2546 210169
61246 489 212154
7818 48637 222585
53370 67957 211554
72832 53142 281476
66951 33158 247974
67126 48516 295678
38832 42267 253806
69650 24275 271377
15008 18428 272185
53615 11787 283442
23378 72074 282737
68048 5523 296885
4690 48319 261994
46614 37432 276230
60633 27858 297129
15263 37441 217719
71122 18266 255813
12664 36569 236444
65138 68837 251953
49058 64273 255127
53978 39758 267117
73978 47607 263528
46637 300 227955
7785 29049 289187
54972 33030 255404
4734 64595 214169
68879 24986 308629
18456 74074 267019
29628 68587 296960
71526 44646 227340
48042 25188 262267
36596 22939 237686
57615 64782 301206
4147 9877 260311
42167 41805 266471
14260 21739 258923
29224 3919 242667
50171 228 302023
10609 47532 224028
55764 35996 239534
48536 67697 261051
43922 66962 248806
23000 41991 236601
4595 70019 227993
73274 49179 268579
73482 36838 299057
16772 72516 249563
51578 22729 267908
70600 36649 269651
69766 54124 310353
23830 19058 275162
50118 6288 260301
24354 33304 301346
1956 70325 232973
56977 63803 258966
73598 17519 211463
35981 28850 241221
52991 6934 309840
69983 19240 232846
72662 29690 210383
5473 70650 252189
67607 51814 253937
5010 20311 222123
33526 45402 294438
25442 36336 305854
30283 59210 216504
63812 23229 213381
46633 27009 292621
12354 13833 305976
24351 17725 249930
51051 34745 266990
1827 49536 249945
72445 909 275929
71308 5061 261698
22541 42057 300375
602 1471 270182
9863 32393 307525
20708 56581 302273
52879 13823 254204
3220 48070 216289
16558 18740 290707
45697 1297 296428
3182 63387 276808
46166 39932 253828
65087 5271 277136
60408 28813 284519
56067 20169 233976
45392 16390 239811
14612 43043 270244
50220 32454 311345
65997 68664 283100
59597 23136 241282
57843 10006 285370
39500 74111 286724
48691 72191 292138
46932 38237 269666
24932 30894 294589
41220 46126 209690
32181 12075 239556
19552 6775 282631
20056 41842 234648
13281 45238 293719
33048 47533 276297
31934 60858 303586
71524 1468 232325
58799 19783 219587
67699 69437 241727
40189 25041 262879
11388 17376 215482
65152 48810 260111
34471 1850 280771
52134 49670 262911
25824 25222 231831
59895 2328 286646
11131 17691 210010
51094 35910 265395
51088 58276 302812
279 11748 259707
37885 6116 271276
23847 624 273966
66583 40075 279611
35065 47401 261324
73303 65354 247800
63504 20435 233630
56140 30680 310107
6832 48227 247931
35978 4828 252941
57225 25673 267091
19529 42073 274182
30096 21578 296901
41154 65314 218114
19630 46068 217915
33325 57037 257837
54151 71846 223459
53341 22368 225606
67809 69145 307565
67207 18727 244978
54183 22882 242217
17369 16428 224778
35106 23430 271767
48697 59717 245655
15838 57065 221303
366 3527 268214
11060 12657 274699
16494 59626 222923
53900 65679 309998
67693 34482 281654
760 70299 214694
67794 66601 220884
451 60826 234991
34526 35124 310239
16443 72401 270909
23926 57518 238645
54556 38474 294113
42831 17133 313180
48712 13112 265901
67785 8301 228722
30239 52929 311600
24973 54651 280789
20582 17577 296190
1855 46022 310943
28577 39580 301317
22147 25744 228068
50623 73834 267051
15654 34194 293541
69333 3044 211350
26553 38012 233296
22438 40175 262437
22255 52917 234272
1330 30274 255227
11863 56002 301354
70414 38012 259341
12396 16799 244671
40300 2317 295690
17051 33593 209765
53496 53603 303776
55970 57656 279369
37470 67385 270225
24638 8639 233338
41373 37474 249960
60299 29280 297268
4468 42049 230879
26649 71448 291022
54523 34945 295085
49299 61547 267532
42710 30710 227394
18016 73078 232382
58061 57362 249848
47600 64593 281402
60814 1504 290945
52584 21156 211088
36537 50101 217006
70440 72889 225944
25252 71118 266665
34078 3401 306001
8991 59345 251943
1834 1293 281663
28221 23494 217233
59799 21207 229581
36258 8853 266932
31885 45780 265364
27932 20697 227137
39063 57733 261781
67375 62207 217578
14177 10748 210927
58559 68295 309393
14412 6657 237005
26144 13178 229869
52205 53190 223822
16412 32780 241869
51628 27117 252239
27007 49818 292920
44427 50663 210185
23859 52716 218980
74192 7373 229966
35528 5297 248999
64897 47137 289753
29523 43377 301443
13932 60763 257863
61654 50690 260934
70092 73080 228023
46586 56020 266897
34263 29457 269215
46833 1063 267583
49188 20617 214048
39619 33 251962
29159 62298 225208
1431 27406 291144
71577 59225 246011
8683 35943 309216
69473 9550 219442
55356 10877 212813
6591 982 247584
29003 32736 298557
2353 17216 222164
7637 31427 302979
56235 39463 211385
4929 8038 263597
73562 3420 303308
37223 6677 277591
47099 44190 275322
57790 54559 216043
70231 34362 314065
24811 42633 246860
58529 58006 269064
25164 5327 230121
60408 28751 292290
53615 34284 312542
61490 50289 258775
50262 18295 306461
62185 56743 307310
50486 25226 233409
5889 49500 313957
34529 55703 306866
35831 11950 238115
70676 42347 287155
56213 5380 280506
74353 48793 267245
30168 19221 258145
5176 21946 240056
42213 39444 243734
56200 20169 246244
56361 16076 242734
21620 47518 231598
9301 32784 269176
14555 4866 236361
62136 48697 251119
25971 72529 284582
57325 4261 254939
19749 70911 302284
55727 15209 292086
13480 19189 227183
36025 15723 227686
44560 39856 270037
45610 57027 249679
40787 67302 308934
61375 17298 292040
37349 29485 233842
10465 41956 219277
34968 30958 307437
24546 9277 239395
57550 59352 304392
9789 41186 302446
68026 27640 269378
33669 55101 220103
16314 5850 274036
41225 2406 253983
17471 11703 252977
72564 68304 287183
60792 59172 274245
23759 68605 296626
68284 46052 218694
8251 34486 265885
42411 23036 286438
66469 70646 250176
1197 51021 297014
34405 26964 300899
38612 62017 295107
16576 3603 308885
33574 31371 254322
18620 59756 266798
23392 5565 242951
33147 69916 213688
37476 35521 214800
55906 48637 248412
40480 22643 233880
7671 6161 242685
2759 50906 282404
24695 18906 229267
34738 7528 215233
70537 72823 234304
19115 46423 241476
53032 34391 261478
73307 19020 301764
16160 68015 224260
35397 50911 284177
44344 31285 210193
